word,value
imprudente,-1
impuestas,-1
impuesto,-1
impuestos,-1
impunidad,-1
impuso,-1
inabarcable,-1
inadecuado,-1
inapapers,-1
incalculable,-1
incantuarse,-1
incapacidad,-1
incapacidad,-1
incendiar,-1
incertidumbre,-1
incitacion,-1
incitando,-1
incitar,-1
incomodo,-1
inconsciente,-1
inconstitucional,-1
incorrecto,-1
incumplimiento,-1
incursion,-1
indeciso,-1
indefendible,-1
indefension,-1
indefenso,-1
indefinido,-1
indiferencia,-1
indigente,-1
indignado,-1
indignante,-1
indio,-1
indiofobico,-1
indios,-1
ineficaz,-1
inepto,-1
ineptos,-1
inestable,-1
inevitable,-1
inevitablemente,-1
inexperto,-1
inexplicable,-1
infame,-1
infantil,-1
infeliz,-1
inferior,-1
infiel,-1
infierno,-1
infiltradas,-1
infiltraron,-1
infligir,-1
infraccion,-1
infundado,-1
injusticia,-1
injustificado,-1
injusto,-1
inmiscuidos,-1
inmoral,-1
inmundo,-1
inseguro,-1
insipido,-1
insistencia,-1
insostenible,-1
insultado,-1
insultos,-1
insurreccion,-1
interminable,-1
intruso,-1
inusitada,-1
inutil,-1
inutiles,-1
invalido,-1
invasion,-1
invitarlo salir,-1
involuntario,-1
ir preso,-1
irresponsable,-1
jamas,-1
jarabe de pico,-1
jibaro,-1
jodan,-1
joder,-1
jodido,-1
jodieron,-1
juerga,-1
jugador,-1
juzgar,-1
juzgarte,-1
la concha,-1
la gran flauta,-1
laborioso,-1
lacrimogeno,-1
lacrimogenos,-1
ladron,-1
ladron,-1
ladrones,-1
lamentable,-1
lamentablemente,-1
lanza gases,-1
largate,-1
largues,-1
las ratas,-1
lastimosamente,-1
lata,-1
lejos,-1
lenta,-1
lesbiano,-1
letales,-1
lisiado,-1
llamativo,-1
llorar,-1
lloro,-1
lo peor,-1
loco,-1
locura,-1
longo,-1
lorenzo,-1
lucha,-1
machito,-1
mafia,-1
mal,-1
mal servicio,-1
mala,-1
maldito,-1
malevolo,-1
malicia,-1
maligno,-1
malo,-1
malparqueado,-1
maltercio,-1
mamaracho,-1
mamarracho,-1
mancha,-1
maniaco,-1
manifestante,-1
manifestantes,-1
manipulacion,-1
manipulacion video,-1
manipulado,-1
mano bolsillo,-1
mantenida,-1
marcha,-1
marchas,-1
marchito,-1
maricon,-1
masacrado,-1
masacran,-1
masacrar,-1
masacre,-1
matando,-1
matanza,-1
matar,-1
matas,-1
mate,-1
maten,-1
maton,-1
matones,-1
medida extrema,-1
mediocre,-1
melancolico,-1
mentir,-1
mentira,-1
mentiras,-1
mentiroso,-1
mentirosos,-1
mercenaria,-1
mercenario,-1
merda,-1
miedo,-1
mientan,-1
miente,-1
mienten,-1
mientes,-1
mierda,-1
miserable,-1
miseria,-1
moho,-1
molesta,-1
molestar,-1
molestia,-1
molesto,-1
monudo,-1
moribundo,-1
morir,-1
mortal,-1
mortales,-1
movilizacion,-1
movilizaciones,-1
mozo,-1
muere,-1
muero,-1
muerte,-1
muertes,-1
muerto,-1
muertos,-1
muriendo,-1
murieron,-1
narcocorreistas,-1
narcos,-1
narcoterroristas,-1
nauseabundo,-1
necesidad,-1
necesitados,-1
necesitan,-1
necesitas,-1
necesito,-1
nefasto,-1
negacion,-1
negadita,-1
negar,-1
negligencia,-1
negro,-1
neoliberales,-1
nervioso,-1
ni gota,-1
niega,-1
ninguna,-1
no nombre,-1
NO TRANSLATION,-1
noalcalde,-1
noalparo,-1
nublado,-1
obituario,-1
obligada,-1
obligados,-1
obligar,-1
obligues,-1
obsceno,-1
obstaculizando ,-1
obstaculo,-1
ocultar,-1
oculto,-1
odiadores,-1
odio,-1
odiosa,-1
odioso,-1
olvida,-1
olvidado,-1
olvidar,-1
omitir,-1
oportunistas,-1
oposicion,-1
opresor,-1
oscuridad,-1
osea,-1
paliza,-1
palos,-1
pantano,-1
paquetaz,-1
paquetazoo,-1
paralisis,-1
paralizacion,-1
paralizaron,-1
paramos,-1
parasito,-1
parcial,-1
paro,-1
patojo,-1
pecuaca,-1
pecueca,-1
pegan,-1
pegando,-1
pegar,-1
pego,-1
pegue,-1
pelea,-1
pelear,-1
peligro,-1
peligroso,-1
pelucon,-1
pelucones,-1
peluconsita ,-1
peluda,-1
pena,-1
penas,-1
pendejada,-1
pendejo,-1
pendejos,-1
peor,-1
perder,-1
perdicion,-1
perdida,-1
perdidas,-1
perdido,-1
perdidos,-1
perdio,-1
perezoso,-1
pericote,-1
perjudicada,-1
perjudicados,-1
perjudicar,-1
perjudicial,-1
perra,-1
persecucion,-1
perseguida,-1
perseguidos,-1
persiguen,-1
pervertido,-1
pesadilla,-1
pesimo,-1
pistola,-1
Piteado,-1
plaga,-1
pobre,-1
pobres,-1
pocas,-1
poderosos,-1
podrida,-1
poner en peligro,-1
pornografia,-1
preocupada,-1
preocupado,-1
preocuparse,-1
presion,-1
preso,-1
presos,-1
preventivo,-1
prision,-1
privacion,-1
privado,-1
problema,-1
problemas,-1
procesar,-1
profugo,-1
prohibido,-1
prohibiendo,-1
prohibiendo los regalos,-1
protesta,-1
protesta,-1
protestan,-1
protestar,-1
protestas,-1
protestas,-1
provocado,-1
puercos,-1
punto muerto,-1
puta,-1
puteando,-1
puyazo,-1
Que foca,-1
Que foco,-1
quebraron,-1
queja,-1
quejado,-1
quejarse,-1
quejo,-1
quemada,-1
queman,-1
quemando,-1
quesque,-1
quino,-1
quitar,-1
quitaron,-1
rabia,-1
rabo,-1
racista,-1
racistas,-1
rancio,-1
raras,-1
raro,-1
rastrero,-1
rata,-1
ratas,-1
ratero,-1
rebelion,-1
rechaza,-1
rechazado,-1
rechazan,-1
rechazo,-1
reclama,-1
reclamo,-1
regano,-1
rehenes,-1
relajo,-1
renuncia,-1
renunciar,-1
renuncie,-1
repelen,-1
represion,-1
represor,-1
represoras,-1
reprimen,-1
reprimes,-1
reprimido,-1
reprimir,-1
repudia,-1
repudio,-1
repugnante,-1
resentimiento,-1
resto,-1
restriccion,-1
retencion,-1
retienen,-1
retirado,-1
retirar,-1
retirate,-1
retiro,-1
retrasar,-1
retraso,-1
reventar,-1
revictimizar,-1
revoltoso,-1
revoltosos,-1
ridiculas,-1
ridiculo,-1
riesgo,-1
riesgos,-1
rigidez,-1
rigido,-1
robada,-1
robada,-1
robando,-1
robar,-1
robaron,-1
robo,-1
robo,-1
robolucionario ,-1
rompio,-1
rompio cadena custodia,-1
rufian,-1
ruidoso,-1
ruina,-1
ruptura,-1
sabotea,-1
sacado,-1
sacan,-1
salado,-1
salga,-1
salieron,-1
salir,-1
salvaje,-1
sancionatorio,-1
sangriento,-1
sanguinario,-1
saqueados,-1
saquean,-1
saquear,-1
saquearon,-1
saquen,-1
saqueos,-1
satanisa,-1
satrapas,-1
sea varon,-1
secuestrado,-1
secuestradores,-1
secuestrar,-1
secuestro,-1
separado,-1
serpiente,-1
servil,-1
shunsha,-1
shunsho,-1
silbido,-1
sin sentido,-1
sinverguenza,-1
soberbios,-1
soborno,-1
sola,-1
solamente,-1
solano,-1
soledad,-1
solitario,-1
solo,-1
sombrio,-1
son correistas,-1
son metirosos,-1
sonsa,-1
sospechaba,-1
subversivos,-1
sucio,-1
sufra,-1
sufre,-1
sufri,-1
sufridos,-1
sufrieron,-1
sufriras,-1
sufriste,-1
superficial,-1
supresion,-1
supuesta,-1
supuestamente,-1
suspende,-1
suspendemos,-1
suspenden,-1
suspender,-1
susto,-1
tacha,-1
tardio,-1
taroso,-1
tema,-1
temblor,-1
tenso,-1
tercermundista,-1
terrible,-1
terror,-1
terrorismo,-1
terrorista,-1
terroristas,-1
tipejo,-1
tirano,-1
tiranos,-1
tongo,-1
tonto,-1
toque queda,-1
toquedequeda,-1
toquedequeda,-1
torcido,-1
torpeza,-1
tortuoso,-1
traicion,-1
traiciona,-1
traicionado,-1
traicionera,-1
traidor,-1
traidores,-1
trampa,-1
trastornado,-1
triste,-1
tristemente,-1
tristeza,-1
tumbaron,-1
tumor,-1
turro,-1
uff,-1
urgente,-1
usado,-1
vagancia,-1
vagos,-1
vandalicamente,-1
vandalismo,-1
vandalos,-1
variante,-1
vaya,-1
vender pais,-1
vendido,-1
veneno,-1
venenoso,-1
venganza,-1
vengativo,-1
verdugo,-1
verga,-1
vergüenza,-1
vergonzoso,-1
verguenza,-1
victima,-1
victimas,-1
video mio comiendo,-1
video mio comiendome,-1
viejito,-1
viejo,-1
villano,-1
violacion,-1
violaciones,-1
violadores,-1
violando,-1
violar,-1
violencia,-1
violenta,-1
violentas,-1
violento,-1
violentos,-1
violo,-1
virado,-1
vitalicios,-1
vos mismo,-1
vulneracion,-1
yucazo,-1
zumbido,-1
FALSO,-1
a lo bestia,1
a prueba de balas,1
a prueba de la intemperie,1
a vaca,1
abastecer,1
abastecimiento,1
abastecimiento,1
Abba,1
abierta,1
Abogacia,1
abogados,1
abrazo,1
abres,1
abrigo,1
abrir,1
abrirlo,1
abrumador,1
absolucion,1
absoluto,1
absorbido,1
abuela,1
abuelo,1
abundancia,1
abundante,1
academia,1
academico,1
acceder,1
accesible,1
accesorio,1
accion,1
accion de gracias,1
acepta,1
aceptable,1
aceptacion,1
aceptan,1
aceptando,1
acertada,1
acertada,1
acertadas,1
acertaron,1
aclarar,1
acogedor,1
acogida,1
Acolitar,1
acolitarle,1
acompanamiento,1
aconsejable,1
acopio,1
acreditado,1
acrobata,1
actitud,1
activado,1
actuaban,1
actuar,1
actuaremos,1
acuerdan,1
acuerdas,1
acuerdo,1
acuerdos,1
adaptable,1
adaptar,1
adecuada,1
adecuado,1
adelante,1
adelanto,1
adepto,1
adjunto archivo,1
administracion,1
admirable,1
admiracion,1
admirador,1
admirar,1
admisible,1
admite,1
adolescentes,1
adoptar,1
adoptar acciones,1
adorable,1
adoracion,1
adorar,1
adornado,1
adquirimos,1
adquirir,1
adquisidor,1
adrenalina,1
adviento,1
afable,1
afan,1
afecto,1
afirmacion,1
afirmando,1
afirmar,1
afirmativamente,1
afirmativo,1
afluencia,1
afluente,1
afortunado,1
agente de mudanzas,1
agil,1
agilidad,1
agilizar,1
agosto,1
agraciado,1
agradable,1
agradece,1
agradecemos,1
agradecer,1
agradecido,1
agradecimiento,1
agradezco,1
agredece,1
agricultura,1
agrimensura,1
aguante,1
agudeza,1
aguja,1
ahorrado,1
ahorro,1
ahorros,1
ahueva,1
alabado,1
alabanza,1
alabastro,1
alarde,1
alcalde,1
alcanzable,1
aldeano,1
alegra,1
alegrarse,1
alegre,1
alegria,1
alegro,1
alentar,1
alhaja,1
aliado,1
alimentacion,1
alimenticias,1
alimento,1
alineandose,1
aliviar,1
alivio,1
alma,1
almacenar,1
almirante,1
almohada,1
almohadilla,1
aloha,1
alojamiento,1
alquiler,1
alta burguesia,1
altruista,1
amabilidad,1
amable,1
amanecer,1
amanerado,1
amas,1
ambulancia,1
ambulancias,1
Amen,1
amenidad,1
amiga,1
amigas,1
amigo,1
amigos,1
amiguis,1
amiguita,1
amistad,1
amistades,1
amistoso,1
amnistia,1
amo,1
amor,1
amoroso,1
amortiguar,1
ampara,1
amplia,1
ampliado,1
ampliamos,1
ampliar,1
analista,1
analistas,1
analizar,1
ananay,1
ancianos,1
ancla,1
anclaje,1
angel,1
angelical,1
anhelo,1
anhelo,1
animado,1
animar,1
animo,1
aniversario,1
antepasados,1
antibioticos,1
antidoto,1
antiguo,1
antiseptico,1
anuncia,1
anunciadas,1
anunciado,1
anuncian,1
anunciando,1
anunciaron,1
apalancamiento,1
apareciendo,1
apasionado,1
apego,1
aplaude,1
aplauden,1
aplaudidos,1
aplaudimos,1
aplaudir,1
aplausos,1
aplomo,1
apogeo,1
apologetico,1
aporta,1
apostol,1
apoya,1
apoyamos,1
apoyan,1
apoyando,1
apoyar,1
apoyaron,1
apoyarte,1
apoyo,1
apreciacion,1
apreciar,1
aprender,1
aprendi,1
aprendizaje,1
aprobacion,1
aprobamos,1
aprobamos,1
aprobar,1
aprobatorio,1
apropiado,1
aprovecha,1
aprovechar,1
aprovecharan,1
aproveche,1
aprovechen,1
aprueba,1
aptitud,1
apto,1
apuesto,1
apuntalar,1
arbitro,1
arbol,1
arbol genealogico,1
ardiente,1
ardor,1
arena,1
aristocracia,1
aristocratico,1
armadura,1
armonia,1
armoniosamente,1
aroma,1
arqueologia,1
arrebatado,1
arreglar,1
arrepentirse,1
art,1
arte,1
artesano,1
articulacion,1
articular,1
artistico,1
ascendencia,1
ascenso,1
asegurar,1
asegure,1
aseguro,1
asentir,1
asequible,1
asesor,1
asesorar,1
asesores,1
asilo,1
asistencia,1
asociacion,1
asociado,1
asociar,1
asombro,1
aspiracion,1
aspirar,1
astrologo,1
astronauta,1
astronomo,1
astuto,1
atencion,1
atencion plena,1
atender,1
atendiendo,1
atenta,1
atento,1
aterciopelado,1
aterrizado,1
atestiguar,1
atleta,1
atletico,1
atomo,1
atracar,1
atraccion,1
atractivo,1
atrapar,1
atrevido,1
audacia,1
audaz,1
aupados,1
aura,1
auspiciar,1
autenticidad,1
autentico,1
autodefensas,1
autor,1
autoridad,1
autoridades,1
autoritario,1
autorizacion,1
autorizado,1
autorizar,1
avanza,1
avanzado,1
avanzar,1
avatar,1
aventuras,1
aventurero,1
Avispado,1
ayuda,1
ayudamos,1
ayudan,1
ayudando,1
ayudante,1
ayudar,1
ayudarle,1
ayudaron,1
ayuden,1
ayudo,1
azucar,1
azucarado,1
bacan,1
bachillerato,1
bailando,1
baile,1
balada,1
balance,1
balanzas,1
ballet,1
baloncesto,1
balsamo,1
bandera,1
banera,1
banquete,1
barato,1
baratos,1
bardo,1
barra,1
base,1
bases,1
bastion,1
bautismal,1
bautismo,1
bebe,1
bebida,1
bebidas,1
beca,1
becerro,1
belleza,1
bellezas,1
bello,1
bendecir,1
bendicion,1
bendiciones,1
bendiga,1
bendita,1
bendito,1
benefactor,1
beneficiamos,1
beneficiaria,1
beneficie,1
beneficio,1
beneficioso,1
benevolencia,1
benigno,1
Beso,1
biblico,1
biblioteca,1
biela,1
bien,1
bien proporcionado,1
bienes,1
bienestar,1
bienvenida,1
billeteado,1
blanco,1
blancura,1
bochornoso,1
bola de fuego,1
bonanza,1
bondad,1
bonita,1
bonito,1
bonus,1
bote,1
boya,1
bravo,1
brillante,1
brillar,1
brillo,1
brindis,1
brio,1
brocado,1
broda,1
broder,1
broma,1
bromas,1
bromista,1
bronceado,1
buen,1
buena,1
buena facha,1
buena voluntad,1
buenas,1
buendia,1
buenisimas,1
bueno,1
buenos,1
buldog,1
bullicioso,1
bus,1
buscar soluciones,1
busqueda,1
caballeria,1
caballero,1
cachar,1
cafeteria,1
calculadora,1
calidad,1
califica,1
calificado,1
calificar,1
calificativo,1
calma,1
calmante,1
calmar,1
camarada,1
camaras,1
cambio,1
campeon,1
canario,1
cancioneta,1
candidato,1
candidatura,1
canta,1
cantar,1
capa,1
capacidad,1
capataz,1
capitalista,1
capitan,1
caracteristica,1
cargador,1
caricia,1
caridad,1
carino,1
Caritativo,1
carrera,1
casa,1
casar,1
cascada,1
casco,1
castidad,1
catartico,1
catedral,1
categorico,1
cautelosamente,1
cauteloso,1
cautivador,1
cautivar,1
cebador,1
ceda,1
cedan,1
cede,1
ceder,1
cedio,1
celebracion,1
celebrado,1
celebrando,1
celebrar,1
celebridad,1
celestial,1
celo,1
cena,1
centelleo,1
centinela,1
centrar,1
centurion,1
cerca,1
cercania,1
cerebral,1
ceremonia,1
Cereza,1
certeza,1
cerveza,1
chance,1
che,1
Chevere,1
chiripa,1
chirrido,1
chocolate,1
choza,1
cielo,1
Cielos,1
cientifico,1
cierre,1
ciertos,1
cincel,1
cinta,1
circuncision,1
ciruela,1
citar,1
ciudadano,1
civil,1
civilidad,1
civilizacion,1
civilizado,1
claridad,1
clarividente,1
claro,1
clasico,1
clasicos,1
clasificar,1
clerical,1
cliente,1
climax,1
coalicion,1
cobrando,1
cobrar,1
cobrara,1
coche de turismo,1
coexistir,1
cognitivo,1
coherencia,1
coherente,1
cohesivo,1
coito,1
colectivamente,1
columna vertebral,1
comandante,1
comentarista,1
comer,1
comida,1
comodidad,1
comodoro,1
companerismo,1
companero,1
comparte,1
compartir,1
comparto,1
compasion,1
compasivo,1
compatibilidad,1
compatible,1
compensacion,1
compensar,1
compensatorio,1
competencias,1
competente,1
complacencia,1
complementario,1
complemento,1
completamente,1
completando,1
compositor,1
comprender,1
comprension,1
comprometido,1
compuesto,1
comunicar,1
comunicativo,1
comunidad,1
comunion,1
conceder,1
concedido,1
concentrese,1
concentrico,1
conciencia,1
concienzudo,1
conciliacion,1
concluyendo,1
concordancia,1
concordia,1
concuerdo,1
conde,1
condesa,1
condolencia,1
condonar,1
conducente,1
conductividad,1
confederado,1
conferencista,1
confesar,1
confiabilidad,1
confiable,1
confianza,1
confidente,1
confirmado,1
confirmando,1
conformidad,1
congratulatorio,1
congregacion,1
congruencia,1
conjetura,1
conjunto,1
conmemoracion,1
conmemorar,1
conmemorativo,1
conmutacion,1
conmutar,1
conocedor,1
conocido,1
conocimiento,1
conocimientos,1
conquista,1
consagracion,1
consciente de,1
consejero,1
Consejo,1
conservacion,1
conservar,1
considerable,1
considerablemente,1
consideracion,1
considerado,1
consigna,1
consistencia,1
consola,1
consonante,1
constancia,1
constante,1
constitucional,1
construir,1
construyendo,1
consuelo,1
consumado,1
consumar,1
consumidor,1
